participant_id	session_id	visit_id	datatype
001	01	01	
002	01	01	
003	01	01	
004	01	01	
005	01	01	
006	01	01	
007	01	01	
008	01	01	
009	01	01	
010	01	01	
011	01	01	
012	01	01	
013	01	01	
014	01	01	
015	01	01	
016	01	01	
017	01	01	
018	01	01	
019	01	01	
020	01	01	
021	01	01	
022	01	01	
023	01	01	
024	01	01	
025	01	01	
026	01	01	
027	01	01	
028	01	01	
029	01	01	
030	01	01	
031	01	01	
032	01	01	
033	01	01	
034	01	01	
035	01	01	
036	01	01	
037	01	01	
038	01	01	
039	01	01	
040	01	01	
041	01	01	
042	01	01	
043	01	01	
044	01	01	
045	01	01	
046	01	01	
047	01	01	
048	01	01	
049	01	01	
050	01	01	
051	01	01	
052	01	01	
053	01	01	
054	01	01	
055	01	01	
056	01	01	
057	01	01	
058	01	01	
059	01	01	
060	01	01	
061	01	01	
062	01	01	
063	01	01	
064	01	01	
065	01	01	
066	01	01	
067	01	01	
068	01	01	
069	01	01	
070	01	01	
071	01	01	
072	01	01	
073	01	01	
074	01	01	
075	01	01	
076	01	01	
077	01	01	
078	01	01	
079	01	01	
080	01	01	
081	01	01	
082	01	01	
083	01	01	
084	01	01	
085	01	01	
086	01	01	
087	01	01	
088	01	01	
089	01	01	
090	01	01	
091	01	01	
092	01	01	
093	01	01	
094	01	01	
095	01	01	
096	01	01	
097	01	01	
098	01	01	
099	01	01	
100	01	01	
101	01	01	
102	01	01	
103	01	01	
104	01	01	
105	01	01	
106	01	01	
107	01	01	
108	01	01	
109	01	01	
110	01	01	
111	01	01	
112	01	01	
113	01	01	
114	01	01	
115	01	01	
116	01	01	
117	01	01	
118	01	01	
119	01	01	
120	01	01	
121	01	01	
122	01	01	
123	01	01	
124	01	01	
125	01	01	
126	01	01	
127	01	01	
128	01	01	
129	01	01	
130	01	01	
131	01	01	
132	01	01	
133	01	01	
134	01	01	
135	01	01	
136	01	01	
137	01	01	
138	01	01	
139	01	01	
140	01	01	
141	01	01	
142	01	01	
143	01	01	
144	01	01	
145	01	01	
146	01	01	
147	01	01	
148	01	01	
149	01	01	
150	01	01	
151	01	01	
152	01	01	
153	01	01	
154	01	01	
155	01	01	
156	01	01	
157	01	01	
158	01	01	
159	01	01	
160	01	01	
161	01	01	
162	01	01	
163	01	01	
164	01	01	
165	01	01	
166	01	01	
167	01	01	
168	01	01	
169	01	01	
170	01	01	
171	01	01	
172	01	01	
173	01	01	
174	01	01	
175	01	01	
176	01	01	
177	01	01	
178	01	01	
179	01	01	
180	01	01	
181	01	01	
182	01	01	
183	01	01	
184	01	01	
185	01	01	
186	01	01	
187	01	01	
188	01	01	
189	01	01	
190	01	01	
191	01	01	
192	01	01	
193	01	01	
194	01	01	
195	01	01	
196	01	01	
197	01	01	
198	01	01	
199	01	01	
200	01	01	
201	01	01	
202	01	01	
203	01	01	
204	01	01	
205	01	01	
206	01	01	
207	01	01	
208	01	01	
209	01	01	
210	01	01	
211	01	01	
212	01	01	
213	01	01	
214	01	01	
215	01	01	
216	01	01	
217	01	01	
218	01	01	
219	01	01	
220	01	01	
221	01	01	
222	01	01	
223	01	01	
224	01	01	
225	01	01	
226	01	01	
227	01	01	
228	01	01	
229	01	01	
230	01	01	
231	01	01	
232	01	01	
233	01	01	
234	01	01	
235	01	01	
236	01	01	
237	01	01	
238	01	01	
239	01	01	
240	01	01	
241	01	01	
242	01	01	
243	01	01	
244	01	01	
245	01	01	
246	01	01	
247	01	01	
248	01	01	
249	01	01	
250	01	01	
251	01	01	
252	01	01	
253	01	01	
254	01	01	
255	01	01	
256	01	01	
257	01	01	
258	01	01	
259	01	01	
260	01	01	
261	01	01	
262	01	01	
263	01	01	
264	01	01	
265	01	01	
266	01	01	
267	01	01	
268	01	01	
269	01	01	
270	01	01	
271	01	01	
272	01	01	
273	01	01	
274	01	01	
275	01	01	
276	01	01	
277	01	01	
278	01	01	
279	01	01	
280	01	01	
281	01	01	
282	01	01	
283	01	01	
284	01	01	
285	01	01	
286	01	01	
287	01	01	
288	01	01	
289	01	01	
290	01	01	
291	01	01	
292	01	01	
293	01	01	
294	01	01	
295	01	01	
296	01	01	
297	01	01	
298	01	01	
299	01	01	
